A.;Argentina, Australia, Austria, Argelia
.A;Avion, Anillo, Aguacate, Armario
B.;Brasil, Belgica, Bolivia, Bangladesh
.B;Balon, Botella, Banano, Bufanda
C.;Canada, Chile, China, Colombia
.C;Cama, Cuchara, Camisa, Coche
D.;Dinamarca, Djibouti, Dominica, Republica Dominicana
.D;Dado, Delfin, Diente, Dibujo
G.;Grecia, Guatemala, Ghana, Gabon
.G;Gato, Gafas, Globo, Guitarra
F.;Francia, Finlandia, Filipinas, Fiyi
.F;Flor, Fresa, Foco, Falda
E.;Espana, Egipto, Ecuador, Etiopia
.E;Elefante, Espejo, Estrella, Escoba
H.;Hungria, Honduras, Haiti, Hong Kong
.H;Huevo, Helado, Hacha, Hoja
I.;Italia, India, Irlanda, Islandia
.I;Iman, Isla, Imanes, Invierno
J.;Japon, Jordania, Jamaica, Jibuti
.J;Jirafa, Juguete, Jardin, Juego
M.;Mexico, Marruecos, Monaco, Madagascar
.M;Manzana, Mesa, Martillo, Mono
L.;Luxemburgo, Lituania, Letonia, Libano
.L;Lapiz, Loro, Llave, Libro
K.;Kazajistan, Kenia, Kirguistan, Kuwait
.K;Koala, Kilo, Karate, Kiosco
N.;Noruega, Nigeria, Nepal, Nicaragua
.N;Nariz, Nube, Nido, Naranja
O.;Oman, Oslo, Oporto, Osaka
.O;Oso, Ojo, Oveja, Oro
Q.;Qatar, Quito, Quebec, Queretaro
.Q;Queso, Quimica, Quemador, Querubin
P.;Portugal, Polonia, Pakistan, Peru
.P;Perro, Pato, Pala, Papel
R.;Rusia, Rumania, Ruanda, Republica Checa
.R;Rana, Rueda, Reloj, Ropa
S.;Suecia, Suiza, Siria, Senegal
.S;Sol, Silla, Sombrero, Serpiente
T.;Tailandia, Turquia, Tunez, Taiwan
.T;Taza, Tren, Tomate, Televisor
Z.;Zambia, Zimbabue, Zurich, Zagreb
.Z;Zorro, Zapato, Zanahoria, Zumbido
U.;Uruguay, Ucrania, Uganda, Uzbekistan
.U;Uva, Unicornio, Uniforme, Uranio
